,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
424,J.T. Marcinkowski\977791f4,us USA,GK,San Jose,23,1997,33,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
425,Marko Marić\b57454c7,hr CRO,GK,Houston Dynamo,25,1996,22,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
426,Paul Marie\da0bb55a,fr FRA,DF,San Jose,25,1995,11.1,1,13,6,46.2,1.17,0.54,0.08,0.17,19.7,1,0,0,0.9,0.9,0.07,+0.1,+0.1,Matches
427,Jahkeele Marshall-Rutty\b9459f85,ca CAN,FWDF,Toronto FC,16,2004,4.7,0,6,1,16.7,1.27,0.21,0,0,17.5,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
428,Nick Marsman\f352799f,nl NED,GK,Inter Miami,30,1990,21.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
429,Douglas Martinez\3e7ebb9a,hn HON,FW,Real Salt Lake,23,1997,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
430,Josef Martínez\e73f0aa1,ve VEN,FW,Atlanta Utd,27,1993,18.2,12,57,19,33.3,3.13,1.04,0.18,0.53,14.6,2,2,2,10,8.5,0.15,+2.0,+1.5,Matches
431,Luís Martins\56b7c09b,pt POR,DF,Sporting KC,28,1992,32.8,1,19,6,31.6,0.58,0.18,0.05,0.17,23.2,1,0,0,0.8,0.8,0.04,+0.2,+0.2,Matches
432,Emmanuel Más\b9385e1f,ar ARG,DF,Orlando City,32,1989,7.6,0,4,2,50,0.53,0.26,0,0,22.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
433,Alexandru Mățan\3bd3bcc4,ro ROU,FWMF,Columbus Crew,21,1999,8.9,0,16,6,37.5,1.8,0.67,0,0,17,0,0,0,1.5,1.5,0.1,-1.5,-1.5,Matches
434,Rónald Matarrita\491862dd,cr CRC,DF,FC Cincinnati,26,1994,21.8,2,14,4,28.6,0.64,0.18,0.14,0.5,21.6,1,0,0,0.6,0.6,0.04,+1.4,+1.4,Matches
435,Blaise Matuidi\c0cddebe,fr FRA,MF,Inter Miami,33,1987,25.4,1,7,1,14.3,0.28,0.04,0.14,1,19.6,0,0,0,0.4,0.4,0.06,+0.6,+0.6,Matches
436,Jimmy Maurer\ca1c6f3d,us USA,GK,FC Dallas,32,1988,23.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
437,José Mauri\644faf10,it ITA,MF,Sporting KC,24,1996,6.7,1,6,2,33.3,0.9,0.3,0.17,0.5,34.4,0,0,0,0.1,0.1,0.02,+0.9,+0.9,Matches
438,Chris Mavinga\fda36cfb,cd COD,DF,Toronto FC,29,1991,18.6,0,9,1,11.1,0.48,0.05,0,0,9.4,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
439,Olivier Mbaizo\f6315619,cm CMR,DF,Philadelphia,23,1997,27.6,0,6,1,16.7,0.22,0.04,0,0,25.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
440,John McCarthy\249362e9,us USA,GK,Inter Miami,28,1992,12.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
441,Dax McCarty\b74e58c0,us USA,MF,Nashville,33,1987,22.9,0,12,3,25,0.52,0.13,0,0,17.2,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
442,Jack McGlynn\e2b8c25c,us USA,MF,Philadelphia,17,2003,7.1,0,12,1,8.3,1.69,0.14,0,0,20.3,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
443,Zac McGraw\83129dc7,us USA,DF,Portland Timbers,23,1997,3.1,0,5,0,0,1.6,0,0,,8.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
444,Justin McMaster\7256a113,jm JAM,FWMF,Minnesota Utd,21,1999,1.5,0,4,1,25,2.69,0.67,0,0,20.6,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
445,Thomas McNamara\ab36595d,us USA,MF,New England,29,1991,21.9,2,28,9,32.1,1.28,0.41,0.07,0.22,19.9,0,0,0,2.7,2.7,0.09,-0.7,-0.7,Matches
446,Jesús Medina\7c4628c4,py PAR,FWMF,NYCFC,23,1997,25,9,57,28,49.1,2.28,1.12,0.16,0.32,16.2,2,0,0,8.5,8.5,0.15,+0.5,+0.5,Matches
447,Álvaro Medrán\31223bcf,es ESP,MF,Chicago Fire,26,1994,25.4,3,53,21,39.6,2.09,0.83,0.06,0.14,24.2,13,0,0,2.8,2.8,0.05,+0.2,+0.2,Matches
448,Jimmy Medranda\6f7ac622,co COL,DFMF,Seattle,26,1994,14.4,4,25,6,24,1.74,0.42,0.16,0.67,19.3,2,0,0,1.5,1.5,0.06,+2.5,+2.5,Matches
449,Haris Medunjanin\de5d5d41,ba BIH,MF,FC Cincinnati,35,1985,17.2,3,14,7,50,0.81,0.41,0.21,0.43,22.2,1,0,0,0.7,0.7,0.05,+2.3,+2.3,Matches
450,Phelipe Megiolaro\73aaa27d,br BRA,GK,FC Dallas,21,1999,10.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
451,Tim Melia\cc741f50,us USA,GK,Sporting KC,34,1986,28,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
452,Jhegson Méndez\db0c5324,ec ECU,MF,Orlando City,23,1997,13.2,1,8,1,12.5,0.61,0.08,0.13,1,24.8,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches
453,Jonathan Mensah\8087e6cb,gh GHA,DF,Columbus Crew,30,1990,28.2,2,32,6,18.8,1.13,0.21,0.06,0.33,13.5,0,0,0,1.8,1.8,0.06,+0.2,+0.2,Matches
454,Justin Meram\ae34c71d,iq IRQ,FWMF,Real Salt Lake,32,1988,15.5,2,26,13,50,1.68,0.84,0.08,0.15,19.3,0,0,0,1.9,1.9,0.07,+0.1,+0.1,Matches
455,Romain Métanire\0fb21da9,mg MAD,DF,Minnesota Utd,30,1990,28.4,0,11,2,18.2,0.39,0.07,0,0,24.3,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
456,Patrick Metcalfe\427e3820,ca CAN,DFMF,Vancouver,22,1998,4.1,0,1,0,0,0.25,0,0,,4.2,0,0,0,0.1,0.1,0.1,-0.1,-0.1,Matches
457,Nicolás Mezquida\00b629e1,uy URU,MFFW,Colorado Rapids,29,1992,7.3,1,17,5,29.4,2.31,0.68,0.06,0.2,19.6,1,0,0,0.8,0.8,0.05,+0.2,+0.2,Matches
458,Benji Michel\151ca25f,us USA,FWMF,Orlando City,23,1997,20.8,4,34,15,44.1,1.64,0.72,0.12,0.27,13.5,0,0,0,5.4,5.4,0.17,-1.4,-1.4,Matches
459,Djordje Mihailovic\83cf9719,us USA,MFFW,CF Montréal,22,1998,31.1,4,58,14,24.1,1.87,0.45,0.07,0.29,18.8,11,0,0,5.3,5.3,0.09,-1.3,-1.3,Matches
460,Matko Miljevic\74b76abc,us USA,FWMF,CF Montréal,19,2001,1.6,1,4,3,75,2.55,1.91,0.25,0.33,23.5,0,0,0,0.1,0.1,0.03,+0.9,+0.9,Matches
461,Eric Miller\c0593f5d,us USA,DF,Nashville,28,1993,11.7,0,3,1,33.3,0.26,0.09,0,0,25.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
462,Kamal Miller\0646bd8a,ca CAN,DF,CF Montréal,23,1997,26.4,1,7,2,28.6,0.26,0.08,0.14,0.5,15.2,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches
463,Tyler Miller\7827a6b3,us USA,GK,Minnesota Utd,27,1993,30,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
464,Kamohelo Mokotjo\7832f692,za RSA,MF,FC Cincinnati,29,1991,5.1,0,2,1,50,0.39,0.19,0,0,21.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
465,Kevin Molino\371645ca,tt TRI,FWMF,Columbus Crew,30,1990,6.4,1,7,2,28.6,1.1,0.31,0.14,0.5,11.9,0,0,0,1.6,1.6,0.22,-0.6,-0.6,Matches
466,Alex Monis\66db9e72,us USA,FW,Chicago Fire,17,2003,0.2,0,1,0,0,4.74,0,0,,23.3,0,0,0,0,0,0.05,0,0,Matches
467,Jamiro Monteiro\d384bddd,cv CPV,MFFW,Philadelphia,27,1993,25.5,2,38,11,28.9,1.49,0.43,0.05,0.18,20.1,2,0,0,2.7,2.7,0.07,-0.7,-0.7,Matches
468,Fredy Montero\bc5b5be5,co COL,FWMF,Seattle,33,1987,16.4,7,53,25,47.2,3.23,1.52,0.11,0.24,17.6,1,1,1,5.9,5.1,0.1,+1.1,+0.9,Matches
469,Lucas Monzón\312755e2,uy URU,DF,NY Red Bulls,19,2001,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
470,Kim Moonhwan\6bce7dd8,kr KOR,DF,Los Angeles FC,25,1995,19.8,1,13,3,23.1,0.66,0.15,0.08,0.33,19.5,1,0,0,1.4,1.4,0.11,-0.4,-0.4,Matches
471,Drew Moor\220cf869,us USA,DF,Colorado Rapids,37,1984,3.4,0,1,0,0,0.29,0,0,,8.5,0,0,0,0,0,0.01,0,0,Matches
472,Felipe Mora\f4b0ea46,cl CHI,FW,Portland Timbers,27,1993,22.5,11,63,25,39.7,2.81,1.11,0.16,0.4,12.1,0,1,1,11.5,10.7,0.17,-0.5,-0.7,Matches
473,Joseph Mora\2af71023,cr CRC,DF,D.C. United,28,1993,17,0,5,1,20,0.29,0.06,0,0,21.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
474,Alfredo Morales\ff45add5,us USA,MFDF,NYCFC,30,1990,19.8,0,18,4,22.2,0.91,0.2,0,0,13,0,0,0,1.2,1.2,0.07,-1.2,-1.2,Matches
475,Maximiliano Moralez\f99f37fc,ar ARG,MFFW,NYCFC,33,1987,26.5,3,64,23,35.9,2.42,0.87,0.05,0.13,18.9,1,0,0,6.2,6.2,0.1,-3.2,-3.2,Matches
476,Steven Moreira\f10983ae,fr FRA,DF,Columbus Crew,26,1994,5.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
477,Junior Moreno\5dcb4ac4,ve VEN,MF,D.C. United,27,1993,23.8,1,10,2,20,0.42,0.08,0.1,0.5,23,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
478,Marcelino Moreno\058c938c,ar ARG,MFFW,Atlanta Utd,26,1994,28.7,9,77,26,33.8,2.68,0.9,0.08,0.23,20.7,6,3,3,8.1,5.8,0.08,+0.9,+0.2,Matches
479,Santiago Moreno\3261d0e4,co COL,FWMF,Portland Timbers,20,2000,3.9,0,9,1,11.1,2.28,0.25,0,0,20.8,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
480,Ashtone Morgan\caece619,ca CAN,DF,Real Salt Lake,29,1991,4.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
481,Lewis Morgan\b675e328,sct SCO,FWDF,Inter Miami,24,1996,31.3,2,48,16,33.3,1.53,0.51,0.04,0.13,20,6,0,0,3.3,3.3,0.07,-1.3,-1.3,Matches
482,Jordan Morris\bd298d0d,us USA,FWMF,Seattle,26,1994,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
483,Justin Morrow\0bee5512,us USA,DF,Toronto FC,33,1987,10.9,0,1,1,100,0.09,0.09,0,0,13.3,0,0,0,0,0,0.01,0,0,Matches
484,Kyle Morton\3f394ec5,us USA,GK,Houston Dynamo,26,1994,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
485,João Moutinho\a0aee24e,pt POR,DF,Orlando City,23,1998,14.4,0,8,1,12.5,0.56,0.07,0,0,17.2,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
486,Chris Mueller\a5334099,us USA,FWMF,Orlando City,24,1996,18.2,3,35,10,28.6,1.92,0.55,0.09,0.3,17.1,0,0,0,3.2,3.2,0.09,-0.2,-0.2,Matches
487,Hany Mukhtar\87fe8526,de GER,FWMF,Nashville,25,1995,27.7,16,93,42,45.2,3.35,1.51,0.16,0.36,18.1,16,1,2,10.8,9.2,0.1,+5.2,+5.8,Matches
488,Patrick Mullins\a03a84d3,us USA,FWMF,Toronto FC,28,1992,8.9,1,18,4,22.2,2.02,0.45,0.06,0.25,14.5,1,0,0,1.5,1.5,0.09,-0.5,-0.5,Matches
489,Jake Mulraney\0f04858e,ie IRL,FWDF,Atlanta Utd,24,1996,12.5,1,25,11,44,1.99,0.88,0.04,0.09,18.6,0,0,0,2.7,2.7,0.11,-1.7,-1.7,Matches
490,Eddie Munjoma\0e1f6ffa,us USA,DF,FC Dallas,22,1998,5.2,0,1,1,100,0.19,0.19,0,0,21,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
491,Daniel Musovski\925a2703,us USA,FWMF,Los Angeles FC,25,1995,7.9,4,22,11,50,2.77,1.38,0.18,0.36,13.5,0,0,0,3.9,3.9,0.18,+0.1,+0.1,Matches
492,Alex Muyl\2c1025bf,us USA,MFFW,Nashville,25,1995,17.1,3,21,5,23.8,1.23,0.29,0.1,0.4,17,0,1,1,2.3,1.5,0.07,+0.7,+0.5,Matches
493,Darlington Nagbe\6219c704,us USA,MF,Columbus Crew,30,1990,32.3,2,17,4,23.5,0.53,0.12,0.12,0.5,19.7,0,0,0,1.5,1.5,0.09,+0.5,+0.5,Matches
494,Andy Najar\f8280175,hn HON,DF,D.C. United,27,1993,21.3,1,17,2,11.8,0.8,0.09,0.06,0.5,14.2,0,0,0,1.6,1.6,0.1,-0.6,-0.6,Matches
495,Younes Namli\1a672e2d,dk DEN,MFFW,Colorado Rapids,26,1994,5.9,1,11,4,36.4,1.86,0.68,0.09,0.25,21.5,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
496,Nani\15e9c7e6,pt POR,FWMF,Orlando City,34,1986,20.3,10,62,22,35.5,3.05,1.08,0.13,0.36,21.3,6,2,3,6.2,3.9,0.06,+3.8,+4.1,Matches
497,Federico Navarro\61c628be,ar ARG,MF,Chicago Fire,20,2000,10.8,1,13,4,30.8,1.21,0.37,0.08,0.25,24.4,0,0,0,0.4,0.4,0.03,+0.6,+0.6,Matches
498,Miguel Navarro\3fbff39a,ve VEN,DF,Chicago Fire,21,1999,24.7,0,14,0,0,0.57,0,0,,22.8,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
499,Dylan Nealis\24f4dd87,us USA,DF,Nashville,22,1998,1.7,0,1,0,0,0.6,0,0,,31.1,0,0,0,0,0,0.02,0,0,Matches
500,Sean Nealis\8c1b17b3,us USA,DF,NY Red Bulls,24,1997,27,1,20,3,15,0.74,0.11,0.05,0.33,8.5,0,0,0,2.1,2.1,0.11,-1.1,-1.1,Matches
501,Jayden Nelson\92305a81,ca CAN,FWMF,Toronto FC,18,2002,2.8,0,6,2,33.3,2.16,0.72,0,0,19.8,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
502,John Nelson\df8c4d49,us USA,DF,FC Dallas,22,1998,6.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
503,Michael Nelson\f4a12161,us USA,GK,Houston Dynamo,25,1995,11,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
504,Jake Nerwinski\2b5801d0,us USA,DF,Vancouver,26,1994,19.1,1,7,3,42.9,0.37,0.16,0.14,0.33,11.5,0,0,0,0.8,0.8,0.11,+0.2,+0.2,Matches
505,Michee Ngalina\9837830f,cd COD,FW,Los Angeles FC,20,2000,0.6,0,2,0,0,3.46,0,0,,15.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
506,Jarosław Niezgoda\60c659b6,pl POL,FW,Portland Timbers,25,1995,2.9,3,7,5,71.4,2.45,1.75,0.43,0.6,10.2,0,0,0,1.4,1.4,0.2,+1.6,+1.6,Matches
507,Chinonso Nnamdi Offor\dc590664,ng NGA,FW,Chicago Fire,20,2000,14.7,1,36,15,41.7,2.45,1.02,0.03,0.07,12.5,0,0,0,3.5,3.5,0.1,-2.5,-2.5,Matches
508,Moses Nyeman\09d33255,us USA,MF,D.C. United,17,2003,8.9,0,6,2,33.3,0.67,0.22,0,0,21.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
509,Shane O'Neill\a62a56b4,us USA,DF,Seattle,27,1993,20.6,1,7,1,14.3,0.34,0.05,0.14,1,14.5,0,0,0,0.5,0.5,0.08,+0.5,+0.5,Matches
510,Jáder Obrian\1471b2a8,co COL,FW,FC Dallas,25,1995,24.2,9,44,23,52.3,1.82,0.95,0.2,0.39,15.6,0,0,0,6.7,6.7,0.15,+2.3,+2.3,Matches
511,David Ochoa\dba6b279,us USA,GK,Real Salt Lake,20,2001,25,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
512,Chris Odoi-Atsem\375ec69e,us USA,DF,D.C. United,25,1995,4.2,0,3,1,33.3,0.72,0.24,0,0,9.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
513,Noble Okello\6bc16162,ca CAN,MF,Toronto FC,20,2000,9.5,0,4,1,25,0.42,0.11,0,0,17,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
514,Wyatt Omsberg\cd44ba68,us USA,DF,Chicago Fire,25,1995,8.4,0,7,0,0,0.83,0,0,,10.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
515,Kwadwo Opoku\226a288e,gh GHA,FW,Los Angeles FC,19,2001,2.8,0,5,2,40,1.8,0.72,0,0,20.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
516,Arquimides Ordonez\8941d9b2,us USA,FWDF,FC Cincinnati,17,2003,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
517,Jonathan Osorio\70106ff6,ca CAN,MFFW,Toronto FC,28,1992,18.3,4,18,7,38.9,0.98,0.38,0.22,0.57,13.3,0,0,0,4.3,4.3,0.24,-0.3,-0.3,Matches
518,Leonard Owusu\a06c6c8a,gh GHA,MF,Vancouver,23,1997,11.8,0,6,0,0,0.51,0,0,,24,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
519,Diego Palacios\6ec37f2e,ec ECU,DFMF,Los Angeles FC,21,1999,19.5,0,19,5,26.3,0.97,0.26,0,0,23.3,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
520,James Pantemis\901408ac,ca CAN,GK,CF Montréal,23,1997,18,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
521,Cristhian Paredes\0d8a2551,py PAR,MF,Portland Timbers,22,1998,13.2,3,20,4,20,1.52,0.3,0.15,0.75,19.1,0,0,0,2.7,2.7,0.14,+0.3,+0.3,Matches
522,Kevin Paredes\5c50fdbc,us USA,DFFW,D.C. United,17,2003,17.1,3,21,8,38.1,1.22,0.47,0.14,0.38,17,0,0,0,2.3,2.3,0.11,+0.7,+0.7,Matches
523,Isaiah Parente\6dbc74d6,us USA,MFFW,Columbus Crew,20,2000,2.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
524,Tim Parker\4988a44d,us USA,DF,Houston Dynamo,27,1993,34,0,12,2,16.7,0.35,0.06,0,0,7.3,0,0,0,1.2,1.2,0.1,-1.2,-1.2,Matches
525,Keaton Parks\77986763,us USA,MF,NYCFC,23,1997,27.1,4,32,7,21.9,1.18,0.26,0.13,0.57,16.7,0,0,0,2.3,2.3,0.07,+1.7,+1.7,Matches
526,Tyler Pasher\3a7bec1b,ca CAN,FW,Houston Dynamo,26,1994,9.4,4,12,7,58.3,1.28,0.74,0.33,0.57,16.3,0,0,0,1.8,1.8,0.15,+2.2,+2.2,Matches
527,Alexandre Pato\7dd83c7d,br BRA,FWMF,Orlando City,31,1989,1.2,0,4,2,50,3.36,1.68,0,0,18.5,1,0,0,0.5,0.5,0.12,-0.5,-0.5,Matches
528,João Paulo Mior\b96aa1d6,br BRA,MF,Seattle,29,1991,28.2,3,28,11,39.3,0.99,0.39,0.11,0.27,22.8,2,0,0,1.7,1.7,0.06,+1.3,+1.3,Matches
529,Jason Pendant\22fe9049,fr FRA,DF,NY Red Bulls,23,1997,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
530,Joshua Penn\29c8decb,us USA,FW,Inter Miami,20,2000,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
531,Ricardo Pepi\a2b1ed42,us USA,FW,FC Dallas,18,2003,23.2,13,66,30,45.5,2.84,1.29,0.2,0.43,14.7,0,0,1,9.7,9,0.14,+3.3,+4.0,Matches
532,Andrés Perea\7e1dbecf,us USA,MFFW,Orlando City,20,2000,19.3,2,20,9,45,1.04,0.47,0.1,0.22,17.1,0,0,0,2,2,0.1,0,0,Matches
533,Daniel Pereira\b8862e65,ve VEN,MF,Austin FC,20,2000,17.3,0,18,2,11.1,1.04,0.12,0,0,23.6,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
534,Mauricio Pereyra\f45eb18d,uy URU,MF,Orlando City,30,1990,24,1,23,8,34.8,0.96,0.33,0.04,0.13,21.1,3,0,1,2.3,1.5,0.07,-1.3,-0.5,Matches
535,Adrien Perez\298a167b,us USA,FWMF,D.C. United,25,1995,9.7,0,27,9,33.3,2.8,0.93,0,0,18.1,0,0,0,2.6,2.6,0.1,-2.6,-2.6,Matches
536,Jonathan Perez\41e57408,us USA,FWDF,LA Galaxy,18,2003,0.2,0,1,0,0,6.43,0,0,,20.2,0,0,0,0,0,0.02,0,0,Matches
537,Manny Perez\27162b95,us USA,FWMF,Austin FC,21,1999,4.2,0,6,1,16.7,1.43,0.24,0,0,11.3,0,0,0,1.5,1.5,0.25,-1.5,-1.5,Matches
538,Jordan Perruzza\edc8791f,ca CAN,FW,Toronto FC,20,2001,1.6,1,4,1,25,2.57,0.64,0.25,1,13.9,0,0,0,1,1,0.26,0,0,Matches
539,Tom Pettersson\c1268aa3,se SWE,DF,FC Cincinnati,30,1990,4,0,3,1,33.3,0.75,0.25,0,0,5.6,0,0,0,0.8,0.8,0.29,-0.8,-0.8,Matches
540,Fafà Picault\dbaa10c0,us USA,FWMF,Houston Dynamo,29,1991,27.3,11,47,17,36.2,1.72,0.62,0.17,0.47,13.8,0,3,3,9.3,7,0.15,+1.7,+1.0,Matches
541,Samuel Piette\bc33c73b,ca CAN,MF,CF Montréal,26,1994,19,1,14,2,14.3,0.74,0.11,0.07,0.5,18.2,0,0,0,1.6,1.6,0.11,-0.6,-0.6,Matches
542,Mauricio Pineda\e0c17cde,us USA,DFMF,Chicago Fire,23,1997,26.7,1,16,6,37.5,0.6,0.22,0.06,0.17,16.9,0,0,0,1.4,1.4,0.09,-0.4,-0.4,Matches
543,Rodrigo Piñeiro\d2a78b5e,uy URU,MF,Nashville,21,1999,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
544,Donovan Pines\7bd25363,us USA,DF,D.C. United,22,1998,15.4,0,12,4,33.3,0.78,0.26,0,0,9.8,0,0,0,1.2,1.2,0.1,-1.2,-1.2,Matches
545,Rodolfo Pizarro\4b49ed54,mx MEX,FWMF,Inter Miami,26,1994,18.8,3,23,9,39.1,1.22,0.48,0.13,0.33,17.8,0,0,0,2.9,2.9,0.13,+0.1,+0.1,Matches
546,Tomas Pochettino\fb36aa6b,ar ARG,MFFW,Austin FC,24,1996,24.7,2,64,13,20.3,2.59,0.53,0.03,0.15,19.7,4,0,0,3.9,3.9,0.06,-1.9,-1.9,Matches
547,Andy Polo\d886b9b9,pe PER,FWMF,Portland Timbers,26,1994,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
548,Matt Polster\d1d418f8,us USA,MF,New England,27,1993,25.3,2,14,3,21.4,0.55,0.12,0.14,0.67,12.5,0,0,0,1.2,1.2,0.09,+0.8,+0.8,Matches
549,Paxton Pomykal\c1f0fb45,us USA,FWMF,FC Dallas,21,1999,16.8,1,19,8,42.1,1.13,0.47,0.05,0.13,17.3,0,0,0,1.6,1.6,0.08,-0.6,-0.6,Matches
550,Justin Portillo\b7aa9657,us USA,MF,Real Salt Lake,28,1992,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
551,Noah Powder\503561e4,tt TRI,DF,Real Salt Lake,22,1998,3.2,0,10,3,30,3.17,0.95,0,0,24.9,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
552,Alvas Powell\2f91124d,jm JAM,DF,Philadelphia,26,1994,3.4,0,4,1,25,1.16,0.29,0,0,26.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
553,Alejandro Pozuelo\5e1280ff,es ESP,MFFW,Toronto FC,29,1991,15,1,30,11,36.7,2,0.73,0.03,0.09,19.4,4,0,0,2.7,2.7,0.09,-1.7,-1.7,Matches
554,Jack Price\6217c92d,eng ENG,MF,Colorado Rapids,28,1992,28.1,0,13,4,30.8,0.46,0.14,0,0,26.4,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
555,Ralph Priso-Mbongue\acb3e899,ca CAN,MF,Toronto FC,18,2002,6.3,1,1,1,100,0.16,0.16,1,1,11.4,0,0,0,0.1,0.1,0.09,+0.9,+0.9,Matches
556,Kacper Przybyłko\4c53a714,pl POL,FW,Philadelphia,27,1993,29.5,12,62,29,46.8,2.1,0.98,0.16,0.34,12.7,0,2,2,11.4,9.9,0.16,+0.6,+0.1,Matches
557,Alan Pulido\b3085df7,mx MEX,FW,Sporting KC,29,1991,16.1,8,56,14,25,3.48,0.87,0.11,0.43,18.9,7,2,2,7.9,6.4,0.11,+0.1,-0.4,Matches
558,John Pulskamp\6b306c92,us USA,GK,Sporting KC,19,2001,6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
559,Roberto Punčec\a97afc61,hr CRO,DF,Sporting KC,29,1991,1.4,0,2,1,50,1.38,0.69,0,0,8.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
560,Andrew Putna\5ba8a3f3,us USA,GK,Real Salt Lake,26,1994,2.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
561,Álvaro Quezada\621a4365,us USA,DF,Los Angeles FC,21,1999,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
562,Facundo Quignon\5b33b84c,ar ARG,MF,FC Dallas,27,1993,14.8,0,14,2,14.3,0.94,0.13,0,0,17.1,0,0,0,1.3,1.3,0.09,-1.3,-1.3,Matches
563,Darwin Quintero\0cc00553,co COL,MFFW,Houston Dynamo,33,1987,11.3,3,37,16,43.2,3.27,1.41,0.05,0.13,19.4,4,1,1,4,3.3,0.09,-1,-1.3,Matches
564,Romell Quioto\122e850d,hn HON,FW,CF Montréal,29,1991,13.7,8,45,16,35.6,3.29,1.17,0.16,0.44,14,1,1,1,9.5,8.7,0.2,-1.5,-1.7,Matches
565,Kaveh Rad\ec7cb356,us USA,DF,Sporting KC,19,2001,2.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
566,Jukka Raitala\67b054d1,fi FIN,DF,Minnesota Utd,32,1988,6,0,1,0,0,0.17,0,0,,17.1,0,0,0,0,0,0.05,0,0,Matches
567,Christian Ramirez\316d5521,us USA,FW,Houston Dynamo,29,1991,1,1,2,1,50,1.98,0.99,0.5,1,16.6,0,0,0,0.1,0.1,0.07,+0.9,+0.9,Matches
