,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
103,Michael Boxall\6bfa0d3a,nz NZL,DF,Minnesota Utd,32,1988,24.3,0,9,1,11.1,0.37,0.04,0,0,7.6,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches
104,Michael Bradley\fd5e3a73,us USA,MFDF,Toronto FC,33,1987,29.9,1,18,4,22.2,0.6,0.13,0.06,0.25,22.7,2,0,0,1,1,0.06,0,0,Matches
105,Zachary Brault-Guillard\948a58c2,ca CAN,DF,CF Montréal,22,1998,22.8,2,17,4,23.5,0.75,0.18,0.12,0.5,18.8,0,0,0,1.5,1.5,0.09,+0.5,+0.5,Matches
106,Claudio Bravo\5619c5e8,ar ARG,DF,Portland Timbers,23,1997,22.4,0,21,3,14.3,0.94,0.13,0,0,24.8,0,0,0,1,1,0.05,-1,-1,Matches
107,Brenner\279508bf,br BRA,FW,FC Cincinnati,21,2000,30.9,8,65,21,32.3,2.1,0.68,0.09,0.29,17,0,2,3,9.7,7.4,0.11,-1.7,-1.4,Matches
108,Bressan\3db1684c,br BRA,DF,FC Dallas,28,1993,19.4,1,11,1,9.1,0.57,0.05,0.09,1,12.9,0,0,0,0.9,0.9,0.08,+0.1,+0.1,Matches
109,Sebastian Breza\52e7f812,ca CAN,GK,CF Montréal,22,1998,8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
110,Frédéric Brillant\5b14180f,fr FRA,DF,D.C. United,35,1985,14.6,1,6,3,50,0.41,0.21,0.17,0.33,9.1,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Matches
111,Andrew Brody\33e46323,us USA,DF,Real Salt Lake,25,1995,12,0,3,0,0,0.25,0,0,,20.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
112,Javain Brown\3d14c62e,jm JAM,DF,Vancouver,21,1999,19.3,0,17,2,11.8,0.88,0.1,0,0,14.5,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
113,Will Bruin\87a6ac29,us USA,FW,Seattle,31,1989,14.3,3,26,8,30.8,1.82,0.56,0.12,0.38,14.8,0,0,0,3.3,3.3,0.13,-0.3,-0.3,Matches
